�û�ID,�û��ͻ�,����,��ծ��,������,��������
105791,0,109,2141,,
138292,0,109,318,,
40008,0,107,939,,0
56762,0,105,2,,
19885,0,103,0,1600,0
57968,0,103,1798.5,1,0
135026,0,103,5,,0
96451,0,102,0.273844353,3417,1
25562,0,102,0.002423508,3300,0
90938,0,102,0,,0
116130,1,101,0.001386963,2883,0
93814,0,101,0.013797241,1666,0
7764,0,101,50,,0
59393,0,99,0.008841175,9500,0
39847,1,99,0.000461467,6500,0
57527,0,99,0.773889848,6372,0
2923,0,99,800,,
24008,0,99,0,,
78708,0,99,0,,0
87212,0,99,62,,
92719,1,99,150,,
106913,0,99,0,,0
108365,0,98,0.096361455,2500,0
9871,0,98,0.006502555,2152,0
142765,0,98,0.634069401,950,0
11855,0,98,0,,
51702,0,98,0,,0
91971,0,98,0,,0
39705,0,97,0.001124859,8000,0
48965,0,97,0.001649918,6666,0
12853,0,97,0.003332778,6000,1
136328,0,97,0.201234145,5833,0
147652,0,97,0.04962202,5158,0
126051,0,97,0.000912409,3287,0
39137,0,97,0.000431593,2316,0
111409,0,97,0.008581236,1747,0
110605,0,97,0.001998668,1500,0
9360,0,97,0,0,0
437,0,97,3,,
18760,0,97,8,,
28871,0,97,0,,
41128,0,97,5,,
66651,0,97,25,,0
100340,0,97,12,,
118164,0,97,0,,0
7320,0,96,0.040494938,8000,0
7094,0,96,0.003066258,7500,1
72552,0,96,0.007622812,7083,0
101691,0,96,0.029980013,1500,0
19125,0,96,0.004861111,1439,0
115051,0,96,0.189837685,1416,0
2865,0,96,15,,0
63005,0,96,0,,1
78004,0,96,70,,0
90337,0,96,4,,0
93839,0,96,1374,,0
123940,0,96,9,,
125517,0,96,0,,
126016,0,96,0,,0
131303,0,96,0,,
132958,0,96,0,,
143222,0,96,549,,0
148502,0,96,0,,0
29984,0,95,0.01112361,8000,1
93963,0,95,0.003374578,8000,0
90371,0,95,0.222043443,7457,0
67728,0,95,0.002896552,7249,1
144320,0,95,0.000999857,7000,0
84642,0,95,0.25117096,6831,0
50962,0,95,0.001599744,6250,0
35697,0,95,0.029043167,5026,0
121168,0,95,0.00039992,5000,0
100587,0,95,0.008301276,4938,0
116165,0,95,0.000267451,3738,0
138989,0,95,0.0029994,3333,1
61852,0,95,0.264610972,2788,0
63881,0,95,0.163272862,2700,0
32192,0,95,0.017193123,2500,0
83317,0,95,0,2500,0
104263,0,95,0,2369,0
82441,0,95,0.131434283,2000,0
119274,0,95,0,1666,0
133820,0,95,0,470,0
4628,0,95,447,,
6834,0,95,24,,0
18548,0,95,10,,0
20040,0,95,0,,
21325,0,95,14,,
33380,0,95,695,,
34464,0,95,0,,0
44027,0,95,0,,0
51054,0,95,0,,0
55494,0,95,4,,0
59487,0,95,0,,
66740,0,95,0,,0
72648,0,95,7,,
80965,0,95,460,,0
82064,0,95,19,,0
88167,1,95,583,,
94257,0,95,0,,0
95189,0,95,3,,
96457,0,95,15,,0
100796,0,95,4,,0
116400,0,95,6,,0
136371,0,95,22,,0
136789,0,95,11,,0
138888,0,95,3,,1
146043,0,95,8,,0
4044,0,94,3.93E-05,203500,0
125827,0,94,0.001714122,10500,0
137054,0,94,0,10000,1
41126,0,94,0.815876516,9069,0
29526,0,94,0.00044603,6725,0
106141,0,94,0.000833194,6000,1
93196,0,94,0.32745098,4079,0
117841,0,94,0.001530222,3920,0
149902,0,94,0,3600,0
142916,0,94,0.006497726,3077,0
102588,0,94,0,3000,0
7179,0,94,0,2412,0
121033,0,94,0,2337,0
87348,0,94,0.000428449,2333,0
23794,0,94,0.428794992,1916,0
119962,0,94,0.854389722,1400,0
131506,0,94,0.051948052,1000,0
98517,0,94,2.243512974,500,0
64841,0,94,0.024122807,455,0
53625,0,94,29,0,0
66930,1,94,20809,0,0
3974,0,94,230,,0
15590,0,94,2,,0
16553,0,94,327,,0
20818,0,94,34,,
22821,0,94,5,,0
23572,0,94,0,,0
24005,0,94,1531,,
35735,0,94,11,,
39683,0,94,4,,0
43651,0,94,0,,
55549,0,94,0,,
68567,0,94,0,,0
70602,0,94,69,,
85342,0,94,0,,0
90201,0,94,0,,
97738,0,94,16,,
104597,0,94,154,,0
113564,0,94,225,,
114482,0,94,0,,
116865,0,94,718,,0
117330,0,94,9,,0
118668,0,94,60,,
127098,0,94,17,,0
128695,0,94,18,,0
129088,0,94,6,,
134466,0,94,0,,0
82782,0,93,0.021468041,47232,0
71303,0,93,0.028379432,16666,0
92784,1,93,0.003727866,13948,0
57605,0,93,0.000190458,10500,0
48874,0,93,0.148185181,10000,0
51303,0,93,0.000590388,8468,0
79050,0,93,0.000719942,8333,0
114169,0,93,0.000893769,7831,0
52224,0,93,0.059734228,7750,0
149197,0,93,0.00315416,7608,0
37901,0,93,0.000527148,7587,0
110610,0,93,0.006470588,6799,0
7577,0,93,0.012256088,6200,0
102228,0,93,0.107166338,6083,0
123543,0,93,0,6000,0
11383,0,93,0.001028454,5833,1
54863,0,93,0.004544628,5500,0
81625,0,93,0.114635504,5390,1
6310,0,93,0.00219956,5000,0
4389,0,93,0,4889,0
94394,0,93,0.41354189,4666,0
33022,0,93,0.510134366,4390,0
51540,0,93,0.013198944,4166,0
137999,0,93,0.006959443,4166,0
2360,0,93,0.150462384,4000,0
67535,0,93,0.225193702,4000,0
87687,0,93,0,4000,0
121861,0,93,0.003749063,4000,0
99095,0,93,0.027941553,3900,0
55974,0,93,0.00617804,3560,0
69608,0,93,0,3545,0
20457,0,93,0.053127678,3500,0
59746,0,93,0.003713225,3500,0
95999,0,93,0.006855184,3500,0
19167,0,93,0,3453,0
92517,0,93,0.00539892,3333,0
132730,0,93,0.005395113,3150,0
23102,0,93,0.342552483,3000,0
37808,0,93,0.03832056,3000,0
78053,0,93,0.120293236,3000,0
92601,0,93,0.187101612,2666,0
12764,0,93,0,2500,0
24300,0,93,0.004798081,2500,0
75596,0,93,0.022480931,2490,0
2292,0,93,0.00244798,2450,0
102442,0,93,0,2300,0
49160,0,93,0,1900,0
68907,0,93,0.009151414,1201,0
2603,0,93,1402,,0
5910,0,93,2,,
8397,0,93,181,,
12784,0,93,0,,
14604,0,93,0,,0
18909,0,93,5,,0
22712,0,93,0,,
23087,0,93,6,,
24838,0,93,0,,0
27117,0,93,0,,0
27428,0,93,6,,
27607,0,93,58,,0
29605,0,93,5,,0
29921,0,93,14,,0
33819,0,93,1974,,0
42372,0,93,107,,
59535,0,93,0,,0
61269,0,93,11,,
61737,0,93,11,,
75937,0,93,24,,0
79078,0,93,39,,0
80123,0,93,60,,
87668,0,93,63,,0
90274,0,93,7,,
91311,0,93,557,,
94286,0,93,2852,,0
97967,0,93,0,,
99454,0,93,4,,
104915,0,93,6,,1
108680,0,93,7,,0
117666,0,93,0,,0
118252,0,93,8,,
123973,0,93,114,,0
129292,0,93,0,,
130183,0,93,8,,0
133785,0,93,15,,0
137986,0,93,14,,
141620,0,93,413,,0
142805,0,93,32,,0
53957,0,92,0.016899155,20000,0
19340,0,92,0.001618893,10500,0
37640,0,92,0.003333016,10500,0
121244,0,92,0.003047329,10500,0
140579,0,92,0.002380726,10500,0
6396,0,92,0.000302786,9907,0
47439,0,92,0.001684033,9500,1
21630,0,92,0.002777469,9000,0
53655,0,92,0.001079914,8333,0
47395,0,92,0.121649221,7833,0
122626,0,92,0.049497525,6666,0
81328,0,92,0.056833559,6650,0
27416,0,92,0.252773004,6400,0
133051,0,92,0.00255959,6250,0
74681,0,92,0.000499917,6000,0
90206,0,92,0.443181818,5983,1
123919,0,92,0.007998546,5500,1
16067,0,92,0.493077349,5416,0
58399,0,92,0.006174069,5020,0
97456,0,92,0.043982407,5001,0
3463,0,92,0.00119976,5000,0
111830,0,92,0.00059988,5000,0
134984,0,92,0.00219956,5000,0
119031,0,92,0,4851,1
95875,0,92,0.124918673,4610,0
126125,0,92,0.39895263,4200,0
143048,0,92,0.00887929,4166,0
147063,0,92,0.135820532,4100,0
1870,0,92,0.235086836,3972,1
45233,0,92,0.146715139,3850,0
138394,0,92,0.09234412,3800,0
57843,0,92,0.273111463,3785,1
41791,0,92,0.683946046,3780,0
90587,0,92,0.375929496,3630,0
48609,0,92,0,3538,0
23236,0,92,0.000285633,3500,0
25546,0,92,0.002285061,3500,0
134166,0,92,0.013424736,3500,0
25408,0,92,0.004878049,3484,0
47755,0,92,0.312315852,3393,0
14305,0,92,0.343154762,3359,1
123664,0,92,0.00419916,3333,0
76380,0,92,0,3069,0
125172,0,92,0,3065,0
113296,0,92,0.001332889,3000,0
209,0,92,0.034326669,2650,0
129670,0,92,0.000384468,2600,0
23979,0,92,0.014307811,2585,0
